station_code,datetime_UTC,t_out,rh_out,dew_point,wind_s,lat,long,time_zone
724950-23254,2023-01-06T16:00:00Z,9.4,92.92393885123118,8.3,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-06T17:00:00Z,11.1,86.45112891638526,8.9,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-06T18:00:00Z,12.2,83.17287000927973,9.4,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-06T19:00:00Z,12.8,77.36278946333405,8.9,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-06T20:00:00Z,13.9,77.52337556190764,10,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-06T21:00:00Z,13.3,80.58638832204204,10,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-06T22:00:00Z,14.4,72.13126097238829,9.4,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-06T23:00:00Z,12.8,83.24066674905016,10,3.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T00:00:00Z,12.2,83.17287000927973,9.4,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T01:00:00Z,11.7,85.93365991111094,9.4,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T02:00:00Z,11.1,89.38041126026602,9.4,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T03:00:00Z,11.1,89.38041126026602,9.4,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T04:00:00Z,10,96.1012270352825,9.4,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T05:00:00Z,9.4,96.72723780938537,8.9,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T06:00:00Z,9.4,92.92393885123118,8.3,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T07:00:00Z,8.9,96.06962617141309,8.3,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T08:00:00Z,8.9,96.06962617141309,8.3,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T09:00:00Z,8.9,96.06962617141309,8.3,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T10:00:00Z,8.9,96.06962617141309,8.3,2.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T11:00:00Z,10,86.34726033496514,7.8,2.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T12:00:00Z,11.7,71.65564690034176,6.7,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T13:00:00Z,11.1,77.11007585804657,7.2,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T14:00:00Z,11.7,68.78094356565504,6.1,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T15:00:00Z,10.6,77.03467782358977,6.7,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T16:00:00Z,15.6,40.68871536128621,2.2,5.7,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T17:00:00Z,15,45.707586512070506,3.3,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T18:00:00Z,15.6,40.68871536128621,2.2,4.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T19:00:00Z,15.6,42.45528196045946,2.8,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T20:00:00Z,11.7,79.84167991388375,8.3,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T21:00:00Z,11.7,79.84167991388375,8.3,2.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T22:00:00Z,15.6,43.97832003030844,3.3,5.7,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-07T23:00:00Z,15.6,43.97832003030844,3.3,4.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T00:00:00Z,12.8,61.84959842283223,5.6,8.8,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T01:00:00Z,11.1,77.11007585804657,7.2,5.7,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T02:00:00Z,11.1,80.30067358311567,7.8,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T03:00:00Z,11.7,74.13098809695235,7.2,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T04:00:00Z,12.8,66.68656450115493,6.7,5.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T05:00:00Z,11.1,86.45112891638526,8.9,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T06:00:00Z,13.3,71.9394118805049,8.3,4.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T07:00:00Z,15,67.12507868748632,8.9,10.8,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T08:00:00Z,12.2,90.0536158885348,10.6,9.3,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T09:00:00Z,11.799999999999999,88.84653443089012,10,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T10:00:00Z,12.1,91.86082138798596,10.8,5.7,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T11:00:00Z,12.75,86.9509530296213,10.6,5.15,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T12:00:00Z,12.8,83.24066674905016,10,4.1,37.978,-122.0311,America/Los_Angeles
